File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Relations_3.v;StructuredUnification;1;1;NaN;23
./Relations_3.v;StructuredUnification;1;2;NaN;25
./Relations_3.v;StructuredUnification;1;5;NaN;24
./Relations_3.v;StructuredUnification;2;1;NaN;21
./Relations_3.v;StructuredUnification;2;2;NaN;27
./Relations_3.v;StructuredUnification;2;5;NaN;28
./Relations_3.v;StructuredUnification;5;1;NaN;30
./Relations_3.v;StructuredUnification;5;2;NaN;25
./Relations_3.v;StructuredUnification;5;5;NaN;26
./Relations_3.v;StructuredSplitUnification;1;1;NaN;26
./Relations_3.v;StructuredSplitUnification;1;2;NaN;30
./Relations_3.v;StructuredSplitUnification;1;5;NaN;28
./Relations_3.v;StructuredSplitUnification;2;1;NaN;26
./Relations_3.v;StructuredSplitUnification;2;2;NaN;31
./Relations_3.v;StructuredSplitUnification;2;5;NaN;30
./Relations_3.v;StructuredSplitUnification;5;1;NaN;24
./Relations_3.v;StructuredSplitUnification;5;2;NaN;25
./Relations_3.v;StructuredSplitUnification;5;5;NaN;35
./Relations_3.v;SimpleUnification;0;0;NaN;27
./Relations_3.v;SimpleSplitUnification;0;0;NaN;24
./Relations_3.v;SplitTypeUnification;0;0;NaN;25
./Relations_3.v;SplitTypeSplitUnification;0;0;NaN;33
